2019-09-09 16:02:23,893 - Successful N = 6, h = 0.44, Delta = 0.9489795918367346, J = 0, t=1
2019-09-09 16:02:23,893 - Saving N = 6, h = 0.44, Delta = 0.9489795918367346, J = 0, t=1
2019-09-09 16:02:24,011 - Successful N = 6, h = 0.44, Delta = 0.9693877551020408, J = 0, t=1
2019-09-09 16:02:24,011 - Saving N = 6, h = 0.44, Delta = 0.9693877551020408, J = 0, t=1
2019-09-09 16:02:24,131 - Successful N = 6, h = 0.44, Delta = 0.9897959183673469, J = 0, t=1
2019-09-09 16:02:24,131 - Saving N = 6, h = 0.44, Delta = 0.9897959183673469, J = 0, t=1
2019-09-09 16:02:24,251 - Successful N = 6, h = 0.44, Delta = 1.010204081632653, J = 0, t=1
2019-09-09 16:02:24,251 - Saving N = 6, h = 0.44, Delta = 1.010204081632653, J = 0, t=1
2019-09-09 16:02:24,367 - Successful N = 6, h = 0.44, Delta = 1.030612244897959, J = 0, t=1
2019-09-09 16:02:24,367 - Saving N = 6, h = 0.44, Delta = 1.030612244897959, J = 0, t=1
2019-09-09 16:02:24,486 - Successful N = 6, h = 0.44, Delta = 1.0510204081632653, J = 0, t=1
2019-09-09 16:02:24,486 - Saving N = 6, h = 0.44, Delta = 1.0510204081632653, J = 0, t=1
2019-09-09 16:02:24,607 - Successful N = 6, h = 0.44, Delta = 1.0714285714285714, J = 0, t=1
2019-09-09 16:02:24,607 - Saving N = 6, h = 0.44, Delta = 1.0714285714285714, J = 0, t=1
2019-09-09 16:02:24,726 - Successful N = 6, h = 0.44, Delta = 1.0918367346938775, J = 0, t=1
2019-09-09 16:02:24,726 - Saving N = 6, h = 0.44, Delta = 1.0918367346938775, J = 0, t=1
