Delta,J,J_term,M^2,Ms^2,N,binary,ground,t
0.44897959183673464,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.5427237322544454,1
0.4897959183673469,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.5746493659996141,1
0.5306122448979591,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.6076437409732558,1
0.5714285714285714,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.6416096284298336,1
0.6122448979591836,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.676463507893472,1
0.6530612244897959,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.7121327432315931,1
0.6938775510204082,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.7485535165680486,1
0.7346938775510203,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.7856692875865459,1
0.7755102040816326,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.823429620162477,1
0.8163265306122448,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.861789269196512,1
0.8571428571428571,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.9007074548744975,1
0.8979591836734693,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.9401472745847788,1
0.9387755102040816,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.9800752181051637,1
0.9795918367346939,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.020460761973636,1
1.0204081632653061,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.061276025890386,1
1.0612244897959182,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.102495478700625,1
1.1020408163265305,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.1440956847294714,1
1.1428571428571428,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.1860550834770667,1
1.183673469387755,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.228353797260091,1
1.2244897959183672,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.2709734625198257,1
1.2653061224489794,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.3138970813487503,1
1.3061224489795917,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.3571088904112525,1
1.346938775510204,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.4005942449120083,1
1.3877551020408163,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.444339515639891,1
1.4285714285714284,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.4883319974141838,1
1.4693877551020407,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.5325598275029044,1
1.510204081632653,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.577011912783651,1
1.5510204081632653,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.6216778645849064,1
1.5918367346938773,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.6665479402873262,1
1.6326530612244896,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.7116129908848827,1
1.673469387755102,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.756864413808813,1
1.7142857142857142,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.802294110406136,1
1.7551020408163265,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.8478944475409183,1
1.7959183673469385,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.8936582228529684,1
1.8367346938775508,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.939578633266103,1
1.8775510204081631,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-2.985649246388102,1
1.9183673469387754,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-3.031863974488159,1
1.9591836734693877,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,0000000,-3.078217050775391,1
2.0,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-3.1247030077351305,1
0.0,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.3452128347773267,1
0.04081632653061224,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.3477958041319211,1
0.08163265306122448,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.355360288239381,1
0.12244897959183673,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.3674255487662177,1
0.16326530612244897,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.3833736414764553,1
0.2040816326530612,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.4025916250427477,1
0.24489795918367346,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.4245475039644069,1
0.2857142857142857,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.4488099716956113,1
0.32653061224489793,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.475039326629415,1
0.36734693877551017,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.5029694000104437,1
0.4081632653061224,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.532389859650244,1
0.44897959183673464,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.5631318955197515,1
0.4897959183673469,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.5950575292649203,1
0.5306122448979591,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.628051904238562,1
0.5714285714285714,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.6620177916951397,1
0.6122448979591836,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.6968716711587781,1
0.6530612244897959,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.7325409064968993,1
0.6938775510204082,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.7689616798333547,1
0.7346938775510203,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.806077450851852,1
0.7755102040816326,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.843837783427783,1
0.8163265306122448,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.8821974324618183,1
0.8571428571428571,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.9211156181398037,1
0.8979591836734693,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-1.960555437850085,1
0.9387755102040816,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-2.00048338137047,1
0.9795918367346939,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-2.040868925238942,1
1.0204081632653061,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-2.081684189155692,1
1.0612244897959182,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-2.122903641965931,1
1.1020408163265305,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-2.1645038479947774,1
1.1428571428571428,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-2.2064632467423726,1
1.183673469387755,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-2.248761960525397,1
1.2244897959183672,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-2.2913816257851316,1
1.2653061224489794,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-2.334305244614056,1
1.3061224489795917,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-2.3775170536765584,1
1.346938775510204,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-2.4210024081773143,1
1.3877551020408163,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-2.464747678905197,1
1.4285714285714284,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-2.5087401606794897,1
1.4693877551020407,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-2.5529679907682103,1
1.510204081632653,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-2.597420076048957,1
1.5510204081632653,0.061224489795918366,-0.061224489795918366,1.0,0.02040816326530612,7,1111111,-2.6420860278502123,1
